City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,mataram,ID,90.41,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
290,awka,NG,78.31,scattered clouds,6.2101,7.0741,Best Western Meloch Hotel
291,brikama,GM,69.84,clear sky,13.2714,-16.6494,Nilakoto
294,shurugwi,ZW,63.54,light rain,-19.6702,30.0059,Flame Lily Lodge
295,mackay,AU,84.04,overcast clouds,-21.15,149.2,International Lodge Motel
296,bernal,PE,68.0,scattered clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
298,alofi,NU,81.1,few clouds,-19.0595,-169.9187,Taloa Heights
302,kahului,US,71.83,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
305,boa vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
307,souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
308,coquimbo,CL,62.73,overcast clouds,-29.9533,-71.3436,Punto de encuentro
310,atambua,ID,74.32,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
312,harper,LR,79.16,light rain,4.375,-7.7169,Screensaver
313,buchanan,LR,75.16,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
316,santo domingo,DO,76.03,scattered clouds,18.5001,-69.9886,Cabañas City Heart
317,vila do maio,CV,75.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
319,bryan,US,65.98,mist,30.6744,-96.37,Best Western Premier Bryan College Station
321,auki,SB,80.37,light rain,-8.7676,160.7034,Auki Motel
322,stilfontein,ZA,75.49,clear sky,-26.8449,26.7683,Revival Guest House
333,grand gaube,MU,83.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
334,tucurui,BR,72.32,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
335,karratha,AU,94.1,light rain,-20.7377,116.8463,ibis Styles Karratha
336,lumphat,KH,86.43,overcast clouds,13.4878,106.9816,Lumphat Homestay
338,baculin,PH,82.49,light rain,7.4525,126.5842,Baculin Cove Beach Resort
339,bani,DO,75.85,clear sky,18.2833,-70.3333,Hospedaje Henriquez
340,kiama,AU,67.37,moderate rain,-34.6833,150.8667,The Sebel Kiama Harbourside
341,batemans bay,AU,65.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
343,byron bay,AU,78.71,overcast clouds,-28.65,153.6167,Backpackers Inn
345,jacareacanga,BR,72.63,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
347,moroto,UG,77.11,few clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
348,iringa,TZ,76.69,broken clouds,-7.7667,35.7,M.R. Hotels ltd.
351,puerto baquerizo moreno,EC,69.91,broken clouds,-0.9,-89.6,Hotel los Algarrobos
352,saint-pierre,RE,86.29,light rain,-21.3393,55.4781,Lindsey Hôtel
353,vega de alatorre,MX,70.41,clear sky,20.0333,-96.6333,El Polo Norte
356,amboasary,MG,78.73,overcast clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
357,namibe,AO,72.37,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
361,maputo,MZ,78.48,broken clouds,-25.9653,32.5892,Pestana Rovuma
366,antofagasta,CL,66.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
368,yaan,NG,76.73,overcast clouds,7.3833,8.5667,
369,brasilia de minas,BR,62.02,few clouds,-16.2064,-44.4333,Hotel Neris
379,bilma,NE,64.27,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
380,tumbagaan,PH,82.8,overcast clouds,5.3656,120.3139,
385,tual,ID,84.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
388,caravelas,BR,70.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
392,rio de janeiro,BR,69.8,clear sky,-22.9028,-43.2075,Hotel Málaga
393,caucaia,BR,82.04,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
394,belmonte,BR,72.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
396,bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
398,barreirinhas,BR,74.98,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
399,ponta delgada,PT,66.92,broken clouds,37.7333,-25.6667,Vila Nova Hotel
400,porteirinha,BR,66.94,overcast clouds,-15.7433,-43.0283,Portal Palace Hotel
402,ratangarh,IN,65.46,overcast clouds,28.0833,74.6,Hotel Shri Laxmi Palace
403,mount gambier,AU,61.84,clear sky,-37.8333,140.7667,The Commodore
406,nhulunbuy,AU,77.61,light rain,-12.2333,136.7667,East Arnhem Real Estate
407,teknaf,BD,76.1,clear sky,20.8624,92.3058,Forestry Guesthouse
408,akyab,MM,75.97,clear sky,20.15,92.9,Hotel Memory
410,alice springs,AU,98.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
415,anau,PF,81.48,overcast clouds,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
417,casino,AU,78.57,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
418,vila velha,BR,65.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
420,kondagaon,IN,80.83,clear sky,19.6,81.6667,AYAN MOTER
422,tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
425,cururupu,BR,74.62,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
432,fare,PF,80.74,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
433,lorengau,PG,83.46,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
438,dingle,PH,81.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
441,vao,NC,77.27,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
442,arona,ES,60.8,few clouds,28.0996,-16.681,Paradise Court
443,san cristobal,VE,65.86,broken clouds,7.7669,-72.225,Posada Villaven C.A.
444,acajutla,SV,75.81,clear sky,13.5928,-89.8275,asi es
447,maldonado,UY,61.23,clear sky,-34.6667,-54.9167,La Cimarrona
450,kavieng,PG,83.34,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
451,cacoal,BR,73.33,overcast clouds,-11.4386,-61.4472,Hotel BR 364
